SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
10.0.2.15,1.1.1.1,40451,53,2021-05-03 19:56:06,0.027698993682861328,108,3899.058616949853,124,4476.696930572053,64.0,8.0,116.0,116.0,108,0.0,1.0,0.06896551724137931,0.00019180856276079794,0.013849496841430664,0.013849496841430664,0.013849496841430664,0.0,0.0,1.0,1.0,0.0,0.0,0.027698993682861328,0.027698993682861328,0.027698993682861328,-10,-10,0.0,True
10.0.2.15,1.1.1.1,34519,53,2021-05-03 19:56:06,0.1640620231628418,108,658.2876275565812,190,1158.0986040347261,1681.0,41.0,149.0,149.0,108,0.0,1.0,0.2751677852348993,0.00672908686107121,0.0820310115814209,0.0820310115814209,0.0820310115814209,0.0,0.0,1.0,1.0,0.0,0.0,0.1640620231628418,0.1640620231628418,0.1640620231628418,-10,-10,0.0,True
10.0.2.15,1.1.1.1,49801,53,2021-05-03 19:56:06,0.1361699104309082,108,793.1267609579471,169,1241.096505573084,930.25,30.5,138.5,138.5,108,0.0,1.0,0.22021660649819494,0.004635561126690391,0.0680849552154541,0.0680849552154541,0.0680849552154541,0.0,0.0,1.0,1.0,0.0,0.0,0.1361699104309082,0.1361699104309082,0.1361699104309082,-10,-10,0.0,True
10.0.2.15,111.221.29.254,36270,443,2021-05-03 19:56:06,0.7595958709716797,2783,3663.7903210821423,4827,6354.694890356989,368935.76559546316,607.4008277862841,330.8695652173913,60.0,60,1.337845881135501,0.44594862704516697,1.8357712272121596,0.042741305041107715,0.20673970359151556,0.4981880084328029,0.5229220390319824,0.7564520835876465,-0.35891553730845005,-1.2492233986420522,0.41498329966206166,0.007844437865123233,0.08856883122816532,0.034856826066970825,0.0013939142227172852,-0.00015497207641601562,1.1334544460019533,0.3953060874563389,2.540932185219532,False
10.0.2.15,1.1.1.1,48062,53,2021-05-03 19:56:24,0.023090839385986328,95,4114.1856479091375,206,8921.286773360867,3080.25,55.5,150.5,150.5,95,0.0,1.0,0.3687707641196013,0.00013329671588735437,0.011545419692993164,0.011545419692993164,0.011545419692993164,0.0,0.0,1.0,1.0,0.0,0.0,0.023090839385986328,0.023090839385986328,0.023090839385986328,-10,-10,0.0,True
10.0.2.15,1.1.1.1,58557,53,2021-05-03 19:56:24,0.016425132751464844,95,5783.819311385937,218,13272.343261917204,3782.25,61.5,156.5,156.5,95,0.0,1.0,0.3929712460063898,6.744624647581077e-05,0.008212566375732422,0.008212566375732422,0.008212566375732422,0.0,0.0,1.0,1.0,0.0,0.0,0.016425132751464844,0.016425132751464844,0.016425132751464844,-10,-10,0.0,True
10.0.2.15,34.107.221.82,55498,80,2021-05-03 19:56:25,37.15016293525696,802,21.588061441282957,694,18.680940947943107,6883.294117647059,82.96562009439246,88.0,60.0,54,1.0124675727660528,0.40980830326245,0.942791137436278,241.75623152014148,15.548512196353112,15.94744226511787,10.173404932022095,0.0,1.1140687790919446,1.0256571216414085,0.974984698979764,3.741612854766017e-05,0.0061168724482091475,0.006020506223042806,0.0029234886169433594,0.0009560585021972656,1.5189221120702796,0.8279472497956487,1.0160063326232454,False
10.0.2.15,1.1.1.1,43771,53,2021-05-03 19:56:25,0.014847040176391602,82,5522.986334366419,98,6600.642204486696,64.0,8.0,90.0,90.0,82,0.0,1.0,0.08888888888888889,5.510865049984659e-05,0.007423520088195801,0.007423520088195801,0.007423520088195801,0.0,0.0,1.0,1.0,0.0,0.0,0.014847040176391602,0.014847040176391602,0.014847040176391602,-10,-10,0.0,True
10.0.2.15,34.107.221.82,55500,80,2021-05-03 19:56:25,37.073124170303345,807,21.76779049677261,694,18.71976035286269,7038.795847750864,83.8975318334864,88.29411764705883,60.0,54,1.0117383799757624,0.40876193730136484,0.9502052239635368,240.5620173728515,15.510061810736007,15.892685006646548,10.07559609413147,0.0,1.1251577814774107,1.0246693533900484,0.9759245718548802,3.709948590192703e-05,0.006090934731379662,0.0063917239507039385,0.0031865835189819336,0.0006361007690429688,1.5786446119063928,0.944949081790154,0.9529408307298456,False
10.0.2.15,1.1.1.1,47484,53,2021-05-03 19:56:25,0.012393951416015625,82,6616.130501692828,110,8875.29701446599,196.0,14.0,96.0,96.0,82,0.0,1.0,0.14583333333333334,3.840250792563893e-05,0.0061969757080078125,0.0061969757080078125,0.0061969757080078125,0.0,0.0,1.0,1.0,0.0,0.0,0.012393951416015625,0.012393951416015625,0.012393951416015625,-10,-10,0.0,True
10.0.2.15,1.1.1.1,42404,53,2021-05-03 19:56:25,0.011862993240356445,84,7080.843619993167,116,9778.30785618104,256.0,16.0,100.0,100.0,84,0.0,1.0,0.16,3.518265215518568e-05,0.005931496620178223,0.005931496620178223,0.005931496620178223,0.0,0.0,1.0,1.0,0.0,0.0,0.011862993240356445,0.011862993240356445,0.011862993240356445,-10,-10,0.0,True
